SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,TotalLatePayments,IncomePerDependent
0,0.117562,35,0,0.906425,20442.0,11,0,0,0,0.0,0,20442.0
0,0.221736,63,0,0.896635,1649.0,10,0,0,0,2.0,0,549.67
0,1.0,70,0,0.501635,4996.5,9,0,0,0,1.0,0,2498.25
0,0.282708,50,0,0.284426,4996.5,6,1,4,0,0.0,1,4996.5
0,0.054701,66,0,0.713758,6953.0,7,0,0,0,1.0,0,3476.5
0,0.189702,57,0,0.06901,5840.0,7,0,1,0,0.0,0,5840.0
1,0.310597,42,0,7.98585,3706.0,8,0,0,0,0.0,0,3706.0
0,0.523672,57,0,0.50428,3453.0,8,0,1,0,1.0,0,1726.5
0,0.605671,73,1,0.234602,2011.0,7,0,1,0,0.0,1,2011.0
1,0.392768,51,0,0.256188,4996.5,10,0,1,2,0.0,2,4996.5
0,0.16875,73,0,0.158084,7096.0,5,0,0,0,2.0,0,2365.33
0,0.156742,21,0,2.113836,10241.0,7,0,1,0,0.0,0,10241.0
0,0.259216,63,1,1.127713,3834.0,5,0,0,3,0.0,4,3834.0
0,0.271651,53,0,0.524443,2905.0,7,0,1,0,2.0,0,968.33
0,0.172646,47,1,0.510403,2074.0,4,0,2,0,2.0,1,691.33
0,0.066657,53,0,0.37575,6549.0,14,0,3,0,0.0,0,6549.0
0,0.350447,24,0,0.053375,2139.0,7,0,0,0,2.0,0,713.0
0,0.164533,48,0,1.548914,21567.0,8,0,2,0,1.0,0,10783.5
0,0.369812,56,0,0.610713,4996.5,5,0,1,0,0.0,0,4996.5
0,0.337892,72,0,1.243719,6117.0,9,0,0,0,0.0,0,6117.0
0,0.506867,44,3,1.801147,17214.0,7,0,2,0,1.0,3,8607.0
0,0.623959,40,0,2.137363,7936.0,8,0,0,0,2.0,0,2645.33
0,1.0,44,0,0.727888,5656.0,4,0,1,0,1.0,0,2828.0
0,0.1171,64,0,0.717449,2264.0,4,0,0,0,1.0,0,1132.0
0,0.578632,56,0,2.323729,1627.0,4,0,0,0,0.0,0,1627.0
0,0.436113,44,0,0.535458,9100.0,6,0,1,0,0.0,0,9100.0
0,0.11128,59,0,2.947525,16398.0,4,0,2,1,0.0,1,16398.0
0,0.593374,53,1,2.234165,4996.5,6,0,2,0,0.0,1,4996.5
1,0.075099,65,0,0.319958,1975.0,4,0,0,0,1.0,0,987.5
0,0.094594,42,0,0.267169,687.0,9,0,0,0,0.0,0,687.0
0,0.224549,47,0,0.15915,2242.0,9,0,0,0,1.0,0,1121.0
0,0.443634,46,0,1.77058,4996.5,5,0,0,0,1.0,0,2498.25
0,0.192811,31,0,0.024319,17664.0,15,0,2,0,0.0,0,17664.0
0,0.337064,56,2,0.024908,8421.0,10,0,1,0,0.0,2,8421.0
0,0.042072,55,0,0.952422,6273.0,5,0,0,0,2.0,0,2091.0
0,0.697849,52,1,0.099766,3568.0,10,0,1,0,0.0,1,3568.0
0,0.174604,48,0,0.171995,3082.0,9,0,0,0,0.0,0,3082.0
0,0.344296,32,0,0.75321,4996.5,11,0,0,0,0.0,0,4996.5
0,0.291758,46,0,0.098345,5770.0,8,0,1,0,0.0,0,5770.0
0,0.284866,47,0,0.120998,4996.5,5,0,0,2,1.0,2,2498.25
0,0.108018,40,0,4.056027,2867.0,7,0,2,0,0.0,0,2867.0
0,0.046615,49,0,0.973546,2473.0,10,0,1,0,0.0,0,2473.0
0,0.161468,57,1,1.857658,4996.5,8,0,1,0,0.0,1,4996.5
0,0.365627,78,0,0.297011,7710.0,7,5,0,0,1.0,5,3855.0
0,0.179047,54,0,4.779536,4509.0,10,0,1,0,0.0,0,4509.0
0,0.425108,55,0,0.015082,4996.5,9,0,0,0,1.0,0,2498.25
0,0.412396,50,0,0.087724,14055.0,6,0,1,0,0.0,0,14055.0
0,0.059611,25,0,0.076625,2815.0,7,0,0,0,1.0,0,1407.5
0,0.216586,51,0,0.201652,21836.0,4,0,0,0,0.0,0,21836.0
0,0.334067,52,0,2.494016,2872.0,5,0,3,0,0.0,0,2872.0
0,0.140079,86,0,6.39322,5278.0,9,1,0,0,0.0,1,5278.0
0,0.502781,49,0,0.719061,3924.0,11,0,1,0,0.0,0,3924.0
0,0.223759,56,0,1.18692,5424.0,6,0,0,0,1.0,0,2712.0
0,0.073872,51,1,0.033638,7014.0,11,0,1,0,3.0,1,1753.5
0,0.506037,35,5,1.118954,4996.5,3,0,0,1,0.0,6,4996.5
0,0.313483,67,0,0.273373,2690.0,10,2,1,0,0.0,2,2690.0
0,0.280862,62,0,0.165405,2001.0,9,0,1,0,0.0,0,2001.0
0,0.241508,63,0,0.362015,4996.5,8,0,2,1,2.0,1,1665.5
0,0.099514,39,0,0.493711,3336.0,5,0,0,0,2.0,0,1112.0
0,0.164845,71,0,2.840531,8598.0,8,0,4,0,1.0,0,4299.0
0,0.030808,32,0,0.090455,1358.0,3,0,0,0,0.0,0,1358.0
0,0.318559,60,3,0.174727,4996.5,5,0,2,0,2.0,3,1665.5
0,0.205764,82,0,2.574697,4439.0,10,0,1,0,0.0,0,4439.0
0,0.115095,38,0,0.135441,7174.0,7,0,0,0,1.0,0,3587.0
0,0.078232,44,0,0.063979,556.0,11,0,2,0,1.0,0,278.0
0,0.125578,53,0,10.0,4996.5,5,0,0,0,1.0,0,2498.25
0,0.157401,44,0,0.157262,1959.0,8,0,1,0,0.0,0,1959.0
0,0.166338,30,5,0.496744,6370.0,5,0,2,1,1.0,6,3185.0
0,0.528394,52,0,0.464108,2145.0,9,0,0,0,1.0,0,1072.5
0,0.17343,37,1,3.188958,2479.0,7,0,4,0,0.0,1,2479.0
1,0.176784,58,0,0.667245,3948.0,9,0,0,0,2.0,0,1316.0
0,0.444612,39,0,0.886648,2117.0,12,0,0,0,0.0,0,2117.0
0,0.120821,73,0,1.475603,3359.0,9,0,1,0,1.0,0,1679.5
0,0.700411,41,0,1.665584,1891.0,9,0,0,0,0.0,0,1891.0
0,0.163012,47,0,1.862163,1133.0,4,0,1,0,1.0,0,566.5
0,0.327546,63,0,3.132379,11096.0,9,0,2,0,0.0,0,11096.0
0,0.528834,34,0,0.267649,1742.0,13,0,2,0,0.0,0,1742.0
0,0.300363,55,0,0.192475,4260.0,8,0,1,0,0.0,0,4260.0
0,0.04245,70,0,0.344694,8976.0,8,2,3,0,0.0,2,8976.0
0,0.202442,29,0,0.243847,3005.0,8,0,0,0,1.0,0,1502.5
0,0.348522,54,2,1.577656,2539.0,7,0,0,0,2.0,2,846.33
0,0.048759,55,0,0.051093,5889.0,7,0,0,0,1.0,0,2944.5
0,0.0485,62,0,2.897189,12020.0,7,0,4,0,0.0,0,12020.0
0,0.52537,34,0,1.070116,1928.0,9,1,1,0,0.0,1,1928.0
0,0.281398,33,0,0.081914,4996.5,5,0,0,0,0.0,0,4996.5
0,0.077543,59,0,0.632214,1229.0,7,0,1,0,0.0,0,1229.0
0,0.163114,56,0,0.905519,3588.0,6,0,1,0,2.0,0,1196.0
0,0.250314,55,0,1.764431,4996.5,7,0,1,0,0.0,0,4996.5
0,0.317507,56,0,0.56931,2480.0,9,0,1,0,0.0,0,2480.0
0,0.117581,42,0,0.60578,3409.0,5,0,0,0,1.0,0,1704.5
1,0.348595,55,0,0.522704,1593.0,9,0,0,0,1.0,0,796.5
0,0.333553,56,0,2.370142,5227.0,5,0,2,0,2.0,0,1742.33
0,0.239185,41,0,5.838403,4996.5,9,0,0,2,1.0,2,2498.25
0,0.212539,78,0,0.86825,4996.5,8,0,1,0,0.0,0,4996.5
1,0.197829,58,0,0.299196,2986.0,8,0,1,0,2.0,0,995.33
0,0.303376,35,0,0.959695,7346.0,6,1,0,0,1.0,1,3673.0
0,0.171794,61,0,5.794416,12960.0,7,0,3,0,1.0,0,6480.0
0,0.245213,38,0,0.613069,1488.0,8,0,1,2,0.0,2,1488.0
0,0.192709,63,0,0.260242,4293.0,3,0,2,0,1.0,0,2146.5
0,0.214696,68,0,4.147019,6164.0,8,0,0,2,0.0,2,6164.0
0,0.34277,40,0,0.803116,4529.0,12,0,2,0,2.0,0,1509.67
0,0.401252,65,0,0.686539,677.0,10,0,2,0,3.0,0,169.25
0,0.25539,57,0,0.102758,7338.0,7,0,0,0,0.0,0,7338.0
0,0.700311,63,0,0.697478,4996.5,5,0,2,0,0.0,0,4996.5
0,0.245199,78,5,1.73182,5395.0,9,0,1,0,1.0,5,2697.5
0,0.191587,48,0,0.333412,2154.0,10,0,0,0,1.0,0,1077.0
0,0.053095,41,0,0.459901,3260.0,10,1,0,0,1.0,1,1630.0
0,0.193302,39,0,0.637333,20250.0,8,0,1,0,0.0,0,20250.0
0,0.311314,40,3,0.662064,4996.5,14,0,2,0,0.0,3,4996.5
0,0.56964,50,0,0.775167,8201.0,8,0,3,0,0.0,0,8201.0
0,0.271418,56,0,4.951408,6536.0,9,1,1,0,0.0,1,6536.0
0,0.194074,55,0,0.343977,2896.0,8,0,1,0,0.0,0,2896.0
0,0.245304,63,0,0.275119,4186.0,6,0,0,0,1.0,0,2093.0
0,0.624761,52,0,0.22877,4617.0,7,0,1,0,1.0,0,2308.5
0,0.414462,72,0,0.412437,7628.0,11,0,1,0,1.0,0,3814.0
0,0.41832,48,0,0.164721,16434.0,9,0,2,0,0.0,0,16434.0
0,0.220535,90,0,0.46467,12024.0,5,0,2,0,2.0,0,4008.0
0,0.487453,60,0,1.596489,1578.0,7,0,2,0,0.0,0,1578.0
1,0.093211,39,1,2.038407,5879.0,8,0,1,0,1.0,1,2939.5
0,0.507086,37,0,0.171719,4996.5,13,0,0,2,0.0,2,4996.5
0,0.176313,58,0,0.388386,4996.5,8,0,1,0,1.0,0,2498.25
0,0.254458,48,0,1.155062,2970.0,12,0,1,0,0.0,0,2970.0
0,0.172746,61,2,0.294588,50000.0,8,0,0,0,0.0,2,50000.0
0,0.370363,58,0,1.895036,1769.0,6,0,2,0,1.0,0,884.5
0,0.341601,50,1,0.491592,4996.5,9,0,0,2,1.0,3,2498.25
0,0.377681,40,0,0.085164,5924.0,5,0,1,0,1.0,0,2962.0
0,0.082617,30,4,0.947231,26727.0,12,0,0,2,0.0,6,26727.0
0,0.130241,45,0,1.553956,2517.0,10,0,2,0,0.0,0,2517.0
0,0.282344,63,0,0.213433,3973.0,9,0,3,0,1.0,0,1986.5
0,0.264583,54,0,0.327032,4996.5,8,0,0,0,0.0,0,4996.5
0,0.328398,34,0,0.289338,4845.0,10,0,1,0,0.0,0,4845.0
0,1.0,54,0,0.878737,3760.0,8,0,1,0,0.0,0,3760.0
0,0.082571,57,0,0.228804,7727.0,14,0,0,0,0.0,0,7727.0
0,0.277971,39,0,0.491274,6112.0,15,0,2,0,0.0,0,6112.0
0,0.705418,54,1,0.169546,11207.0,5,0,2,0,1.0,1,5603.5
0,0.106212,52,0,0.469321,13810.0,11,0,3,0,0.0,0,13810.0
0,0.07245,35,0,0.569373,4996.5,8,0,0,0,2.0,0,1665.5
0,1.0,57,0,0.336766,6206.0,7,0,1,0,0.0,0,6206.0
0,0.497723,59,0,0.074924,5833.0,4,0,1,0,1.0,0,2916.5
0,0.463339,67,0,6.257789,7268.0,9,0,2,0,1.0,0,3634.0
0,0.218762,66,0,0.957464,4996.5,7,0,1,0,1.0,0,2498.25
0,0.403638,32,0,0.286202,4996.5,14,0,1,0,2.0,0,1665.5
0,0.108384,38,0,0.924392,12801.0,5,0,2,0,0.0,0,12801.0
0,0.511338,59,0,1.572593,16529.0,14,0,2,0,0.0,0,16529.0
0,0.177901,59,0,1.067778,1471.0,8,0,1,2,0.0,2,1471.0
0,0.286542,59,0,1.423506,4954.0,6,3,0,0,2.0,3,1651.33
0,0.28506,90,0,2.104263,2832.0,12,0,3,0,2.0,0,944.0
0,0.315626,59,0,0.228874,3832.0,9,0,0,0,0.0,0,3832.0
0,0.110683,67,1,0.41207,6781.0,5,0,0,0,1.0,1,3390.5
0,0.724189,65,0,0.666679,8396.0,14,0,0,0,1.0,0,4198.0
0,0.136349,61,0,0.984448,4493.0,9,0,1,0,0.0,0,4493.0
0,0.526913,47,0,0.881612,1063.0,13,0,2,0,1.0,0,531.5
0,0.375409,62,0,0.048171,2270.0,11,0,0,0,0.0,0,2270.0
0,0.203691,41,0,10.0,10068.0,11,0,0,0,1.0,0,5034.0
0,0.074684,48,0,4.497716,548.0,4,0,0,0,0.0,0,548.0
0,0.202879,45,0,0.311647,4996.5,5,0,3,0,1.0,0,2498.25
0,0.078196,53,0,1.361028,7457.0,12,0,0,0,2.0,0,2485.67
0,0.178272,84,0,0.261963,14086.0,9,0,3,0,1.0,0,7043.0
0,1.0,25,0,0.178149,4192.0,9,0,0,0,2.0,0,1397.33
0,0.068556,61,0,0.208736,944.0,9,1,0,0,0.0,1,944.0
0,0.161295,29,0,0.342761,4996.5,7,0,1,0,1.0,0,2498.25
0,0.546916,45,0,1.042788,4996.5,7,0,1,0,0.0,0,4996.5
0,0.144485,67,0,1.10798,10298.0,5,0,0,0,1.0,0,5149.0
0,0.169973,52,5,0.470642,4996.5,9,0,0,0,1.0,5,2498.25
0,0.075042,36,0,0.08821,4996.5,8,0,1,0,1.0,0,2498.25
1,0.340204,41,0,1.032595,3209.0,10,0,1,0,1.0,0,1604.5
0,0.212861,61,0,3.233317,2551.0,5,0,0,1,0.0,1,2551.0
0,0.261818,41,1,0.465717,10554.0,9,0,1,0,1.0,1,5277.0
0,0.271164,55,0,0.560619,1885.0,6,0,1,0,1.0,0,942.5
0,0.209097,52,0,7.492948,2404.0,12,0,1,0,0.0,0,2404.0
0,1.0,42,0,1.730003,2032.0,4,0,0,0,0.0,0,2032.0
0,1.0,82,0,0.196612,1491.0,21,0,2,0,0.0,0,1491.0
0,0.440015,60,0,0.159763,5525.0,10,0,1,0,3.0,0,1381.25
0,0.120209,23,0,0.139011,4996.5,8,0,0,0,1.0,0,2498.25
0,0.355632,54,0,0.956288,4239.0,4,0,1,0,2.0,0,1413.0
0,0.047303,42,0,4.152361,1473.0,12,0,2,0,0.0,0,1473.0
0,0.179131,63,0,1.205563,9623.0,8,0,0,0,0.0,0,9623.0
0,0.322037,40,0,0.191397,18931.0,10,0,1,0,4.0,0,3786.2
0,0.212945,50,0,1.693701,2930.0,14,0,1,0,0.0,0,2930.0
0,0.664605,59,0,0.233678,3351.0,11,0,1,0,1.0,0,1675.5
0,0.297997,64,0,10.0,4996.5,6,0,1,0,1.0,0,2498.25
0,0.251415,35,0,0.309973,4996.5,8,0,2,0,0.0,0,4996.5
0,0.295392,47,2,0.168419,4996.5,9,0,1,1,0.0,3,4996.5
0,0.280024,45,0,0.874872,1692.0,3,0,0,0,1.0,0,846.0
0,0.178212,42,0,1.764581,8144.0,7,0,1,0,0.0,0,8144.0
0,0.187653,76,0,0.939609,9313.0,6,0,0,0,0.0,0,9313.0
0,0.374978,57,0,0.896911,4938.0,8,0,1,0,0.0,0,4938.0
0,0.309212,34,0,1.365677,3144.0,10,0,2,0,3.0,0,786.0
0,0.089402,64,0,0.671366,10888.0,11,0,1,0,0.0,0,10888.0
0,0.303423,81,0,0.98476,7498.0,7,2,2,0,1.0,2,3749.0
0,0.176528,66,0,1.584531,2657.0,15,0,1,0,2.0,0,885.67
0,0.276852,30,0,0.13951,5111.0,13,0,0,0,2.0,0,1703.67
0,0.228175,45,0,0.450568,4996.5,10,0,2,0,2.0,0,1665.5
0,0.068836,69,0,1.435753,8507.0,5,0,1,0,0.0,0,8507.0
0,0.349852,42,0,0.098084,3984.0,8,0,0,0,0.0,0,3984.0
0,0.491313,58,0,0.922879,3468.0,4,0,1,0,0.0,0,3468.0
0,0.542329,62,0,0.339373,4996.5,12,0,1,0,0.0,0,4996.5
0,0.115934,39,0,0.449261,4996.5,7,0,1,0,0.0,0,4996.5
0,0.182657,51,1,0.629206,10056.0,8,0,0,0,2.0,1,3352.0
0,0.136841,21,0,0.091727,7886.0,7,0,0,0,0.0,0,7886.0
0,0.155661,37,0,0.307632,4996.5,8,0,2,0,0.0,0,4996.5
0,0.235295,48,1,2.93329,9053.0,12,1,1,0,0.0,2,9053.0
0,0.228431,34,0,0.057592,4996.5,3,0,1,0,0.0,0,4996.5
0,0.506878,74,0,4.199902,3493.0,11,0,2,0,1.0,0,1746.5
0,0.13968,31,0,0.304573,4448.0,7,0,1,0,0.0,0,4448.0
0,0.464276,45,0,0.301354,4365.0,7,0,1,0,1.0,0,2182.5
0,0.323772,53,3,0.681161,7362.0,6,0,0,0,0.0,3,7362.0
1,1.0,72,1,3.417564,4996.5,4,0,0,0,0.0,1,4996.5
1,1.0,31,0,0.120923,3596.0,7,0,2,0,0.0,0,3596.0
0,0.184361,68,0,0.320548,23742.0,8,0,0,0,1.0,0,11871.0
0,0.030295,52,0,1.466115,4996.5,8,0,1,0,1.0,0,2498.25
0,0.132978,38,0,1.535225,2674.0,5,0,0,1,1.0,1,1337.0
0,0.124377,58,0,5.301137,7760.0,7,0,2,0,1.0,0,3880.0
0,0.166696,54,0,0.16489,5402.0,3,0,1,0,1.0,0,2701.0
0,0.248388,43,1,0.147303,6722.0,4,0,1,0,0.0,1,6722.0
0,0.393749,52,0,1.645964,5485.0,3,0,2,0,0.0,0,5485.0
0,0.415178,46,0,0.274902,4996.5,8,0,1,0,1.0,0,2498.25
0,0.265489,53,0,1.034303,6480.0,6,0,1,0,0.0,0,6480.0
0,0.087515,61,0,1.424658,4996.5,11,0,0,0,2.0,0,1665.5
0,0.283138,74,0,0.084917,11313.0,9,0,1,0,1.0,0,5656.5
0,0.24686,34,0,5.498524,5923.0,7,0,0,0,1.0,0,2961.5
0,0.271701,81,0,0.929076,5416.0,6,0,0,3,1.0,3,2708.0
0,0.504529,24,0,0.301512,4996.5,4,0,2,0,0.0,0,4996.5
0,0.085642,49,0,0.689804,4560.0,7,0,1,0,1.0,0,2280.0
0,0.230186,60,0,0.773994,4951.0,9,0,0,0,0.0,0,4951.0
0,0.080385,55,0,0.822982,3073.0,12,0,1,0,0.0,0,3073.0
0,0.171042,43,0,1.737829,2694.0,7,0,0,0,1.0,0,1347.0
0,0.084154,49,0,0.307336,2210.0,7,0,0,0,1.0,0,1105.0
0,0.296702,45,0,0.740498,4996.5,5,0,1,0,2.0,0,1665.5
0,0.443398,43,0,0.420787,2431.0,4,0,0,0,0.0,0,2431.0
0,0.301135,63,0,0.923386,4275.0,10,1,1,0,0.0,1,4275.0
0,0.071816,56,0,0.735952,5337.0,14,0,1,0,0.0,0,5337.0
0,0.203979,42,0,0.053075,3955.0,5,0,0,0,2.0,0,1318.33
0,0.163131,64,0,0.274307,746.0,8,0,1,0,0.0,0,746.0
0,0.038645,56,0,0.069767,17320.0,8,0,0,0,0.0,0,17320.0
0,0.566805,63,0,5.123822,11721.0,7,0,1,2,0.0,2,11721.0
0,0.548313,60,0,1.838582,7020.0,11,0,1,0,0.0,0,7020.0
0,0.117112,40,0,0.1341,22606.0,10,0,2,0,0.0,0,22606.0
0,1.0,44,0,1.661488,4996.5,8,0,1,1,0.0,1,4996.5
0,0.247576,62,0,0.352482,22250.0,3,0,1,0,1.0,0,11125.0
0,0.230522,60,0,0.748788,2270.0,12,0,0,0,1.0,0,1135.0
0,0.721565,51,2,0.053282,5949.0,10,0,1,0,0.0,2,5949.0
0,0.338591,53,1,0.994918,1773.0,14,5,0,0,0.0,6,1773.0
0,0.135194,69,0,0.999707,4972.0,11,0,0,0,0.0,0,4972.0
0,0.218504,43,0,0.0704,4996.5,7,0,0,0,0.0,0,4996.5
0,0.203483,59,2,2.840617,4342.0,9,0,0,0,1.0,2,2171.0
0,0.346591,49,0,2.432159,8700.0,9,0,2,0,0.0,0,8700.0
0,0.174503,48,0,0.763462,5319.0,8,0,2,0,0.0,0,5319.0
0,0.387472,67,0,0.378104,3235.0,4,0,0,0,1.0,0,1617.5
0,0.28894,63,3,0.426544,4996.5,11,0,2,0,1.0,3,2498.25
0,0.027743,63,2,4.374268,9402.0,7,0,3,0,0.0,2,9402.0
0,0.098359,70,0,5.41364,2913.0,4,0,1,0,0.0,0,2913.0
0,0.138148,52,0,0.312761,4996.5,13,0,1,0,2.0,0,1665.5
0,0.221334,61,0,0.074992,13071.0,6,0,2,0,2.0,0,4357.0
0,0.127429,47,0,0.513618,4996.5,9,0,2,0,0.0,0,4996.5
0,0.110101,56,0,2.819843,4996.5,12,0,2,0,2.0,0,1665.5
0,0.391529,50,0,0.276259,25548.0,8,0,1,1,1.0,1,12774.0
0,0.422657,53,0,0.174494,6012.0,6,0,0,0,0.0,0,6012.0
0,0.230764,60,0,5.889805,7936.0,7,0,3,1,0.0,1,7936.0
0,0.214358,40,2,0.105405,11266.0,4,0,1,0,1.0,2,5633.0
0,0.215303,81,0,3.27946,3942.0,3,0,2,1,1.0,1,1971.0
0,0.552955,37,1,0.633628,4996.5,4,0,0,0,0.0,1,4996.5
0,0.114762,35,0,0.560452,1717.0,6,0,1,2,0.0,2,1717.0
0,0.660397,68,0,1.028381,5491.0,9,5,0,0,2.0,5,1830.33
0,0.164441,63,0,0.542666,7320.0,5,0,1,0,2.0,0,2440.0
0,0.198781,60,0,0.555564,7427.0,5,0,0,0,1.0,0,3713.5
0,0.199051,60,0,0.212696,11525.0,10,0,1,0,0.0,0,11525.0
0,0.117292,51,0,0.392673,2644.0,12,0,0,0,1.0,0,1322.0
0,0.059922,39,0,1.376593,4996.5,9,0,0,0,1.0,0,2498.25
0,0.183706,53,1,0.144503,22390.0,5,0,0,0,1.0,1,11195.0
0,0.254184,42,0,1.729454,4357.0,7,0,1,0,0.0,0,4357.0
0,0.484417,65,1,0.486724,5767.0,9,0,1,0,1.0,1,2883.5
0,0.202711,49,0,0.143954,4658.0,12,0,0,0,0.0,0,4658.0
0,0.243227,40,0,0.521998,2546.0,8,0,1,0,0.0,0,2546.0
0,0.211082,47,0,1.004791,18012.0,8,0,0,0,1.0,0,9006.0
0,0.411776,57,0,0.235857,4996.5,5,0,2,0,0.0,0,4996.5
0,0.208246,44,0,3.297087,4996.5,4,0,1,0,2.0,0,1665.5
0,0.340496,40,1,1.80511,3426.0,9,0,1,0,0.0,1,3426.0
0,0.170397,55,0,1.29929,990.0,7,0,0,0,0.0,0,990.0
